start,end,iso3,FiveYrSD,FiveYrAverageGDPgrowth
2009,2013,BLR,3.2316136,3.2578969
2010,2014,BLR,2.9507029,3.5354574
2011,2015,BLR,2.0591788,2.4841263
1997,2001,BLZ,4.0612979,6.8241863
1998,2002,BLZ,3.7960088,7.1388626
1999,2003,BLZ,3.3408442,8.2565212
2000,2004,BLZ,3.673424,7.4300642
2001,2005,BLZ,2.458437,5.3379135
2002,2006,BLZ,2.4802284,5.251101
2003,2007,BLZ,3.1045558,4.4485064
2004,2008,BLZ,1.4812167,3.2284768
2005,2009,BLZ,1.5803869,2.4415095
2006,2010,BLZ,1.6308862,2.590682
2007,2011,BLZ,1.1921159,2.0951521
2008,2012,BLZ,1.2468015,2.6389847
2009,2013,BLZ,1.2775899,2.2982993
2010,2014,BLZ,1.0025438,2.8723121
2011,2015,BLZ,1.1203413,2.7594223
1997,2001,BMU,2.5110025,5.6844482
1998,2002,BMU,4.1217189,4.4688902
1999,2003,BMU,4.1443486,4.3710313
2000,2004,BMU,4.2338467,4.1587548
2001,2005,BMU,3.1457419,2.6301651
2002,2006,BMU,2.5700171,2.2944512
2003,2007,BMU,1.4794753,3.1591873
2004,2008,BMU,1.6312761,2.7826247
2005,2009,BMU,3.9980037,1.261536
2006,2010,BMU,4.2481222,.50787187
2007,2011,BMU,3.3854225,-1.2688003
2008,2012,BMU,2.7308593,-2.8048863
2009,2013,BMU,1.4036452,-3.6126959
2010,2014,BMU,1.2094857,-3.1948256
2011,2015,BMU,1.1775279,-3.5617297
1997,2001,BOL,2.0310769,2.9204118
1998,2002,BOL,1.6833757,2.4266832
1999,2003,BOL,.94439232,1.9630802
2000,2004,BOL,.90630388,2.7123623
2001,2005,BOL,1.1653582,3.0950866
2002,2006,BOL,1.0486456,3.7177286
2003,2007,BOL,.82657933,4.1334925
2004,2008,BOL,.77586257,4.8209238
2005,2009,BOL,.99977875,4.6576648
2006,2010,BOL,1.025543,4.5987229
2007,2011,BOL,1.060774,4.6801395
2008,2012,BOL,1.0748025,4.7917175
2009,2013,BOL,1.295501,4.9212208
2010,2014,BOL,.95817626,5.3419342
2011,2015,BOL,.78027385,5.6457372
1997,2001,BRA,1.7051975,1.9945669
1998,2002,BRA,1.6406361,1.9261934
1999,2003,BRA,1.4777086,2.086586
2000,2004,BRA,1.8720247,3.1449487
2001,2005,BRA,1.797156,2.962846
2002,2006,BRA,1.6696427,3.423383
2003,2007,BRA,2.0129218,4.0272074
2004,2008,BRA,1.2129397,4.8178973
2005,2009,BRA,2.3721209,3.6404915
2006,2010,BRA,2.9021704,4.5058408
2007,2011,BRA,2.9046168,4.4957914
2008,2012,BRA,2.9353087,3.6644261
2009,2013,BRA,2.8274796,3.2487009
2010,2014,BRA,2.760051,3.2946045
2011,2015,BRA,1.6392115,2.2360566
1997,2001,BRB,3.1032076,2.1607363
1998,2002,BRB,2.7832379,1.3891031
1999,2003,BRB,2.5339336,1.0756891
2000,2004,BRB,2.4987328,1.2920387
2001,2005,BRB,2.3514991,1.1976578
2002,2006,BRB,2.0070763,2.8143907
2003,2007,BRB,1.8186407,2.9901478
2004,2008,BRB,2.1466475,2.6500413
2005,2009,BRB,3.7286789,1.56429
2006,2010,BRB,3.4763789,.81199789
2007,2011,BRB,2.2242267,-.17757112
2008,2012,BRB,2.0032706,-.46351853
2009,2013,BRB,1.9628983,-.55154669
2010,2014,BRB,.26883894,.2908321
2011,2015,BRB,.31023768,.29504696
1997,2001,BRN,2.1614101,1.3231877
1998,2002,BRN,1.7077152,2.3918417
1999,2003,BRN,.45418227,3.0843344
2000,2004,BRN,1.2432092,2.5747666
2001,2005,BRN,1.5555339,2.0823836
2002,2006,BRN,1.8744869,2.4131196
2003,2007,BRN,1.8883325,1.6696165
2004,2008,BRN,2.2953568,.70088249
2005,2009,BRN,2.5536621,.24711169
2006,2010,BRN,2.7666838,.68940347
2007,2011,BRN,2.4591181,.49582312
2008,2012,BRN,2.4572024,.65457773
2009,2013,BRN,2.4085989,.69212854
2010,2014,BRN,2.5640676,.57703573
2011,2015,BRN,2.6575375,.071553156
1997,2001,BTN,1.2425323,6.8817277
1998,2002,BTN,1.8000923,7.9525285
1999,2003,BTN,1.4384195,8.3025885
2000,2004,BTN,1.8091992,7.885076
2001,2005,BTN,1.7861027,7.9229832
2002,2006,BTN,1.8349099,7.6521015
2003,2007,BTN,4.9798245,9.0916986
2004,2008,BTN,5.3425465,8.5125027
2005,2009,BTN,5.2595992,8.6646652
2006,2010,BTN,5.3251686,9.5863247
2007,2011,BTN,5.210475,9.7946339
2008,2012,BTN,2.8169262,7.2238111
2009,2013,BTN,3.5408952,6.6986394
2010,2014,BTN,3.5846884,6.4589581
2011,2015,BTN,2.3564703,5.1409845
1997,2001,BWA,4.390275,4.1308107
1998,2002,BWA,4.0284591,3.7394071
1999,2003,BWA,3.658788,4.5201874
2000,2004,BWA,2.2723558,3.1279035
2001,2005,BWA,2.2402976,3.6416936
2002,2006,BWA,2.1041555,5.2643528
2003,2007,BWA,2.508945,5.7064762
2004,2008,BWA,2.4380343,6.0297208
